abbreviatedAddress,address/city,address/zipcode,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,latitude,livingArea (sqft),longitude,lotSize,price,yearBuilt,zestimate
1121 SW 10th Dr,Gresham,97080,3,4,11,512000,45.48822784,2724,-122.4444199,9583,512000,1982,512355
1518 SE 12th St,Gresham,97080,2,3,14,404200,45.48799133,1150,-122.4161835,7000,404200,1967,397479
110 NW Willowbrook Ct,Gresham,97030,2,3,25,478200,45.4981842,2036,-122.4513321,6969,478200,1978,481241
4252 SW Lillyben Ave,Gresham,97080,2,4,26,530000,45.46759796,1947,-122.4583893,4791,530000,2018,532813
1671 SE Liberty Ave,Gresham,97080,3,3,12,389200,45.48519516,1548,-122.4188385,5009,419900,2006,459426
3569 SW Mckinley St,Gresham,97080,3,3,41,550000,45.47535324,2209,-122.4683075,5227,550000,2017,557448
520 SE Juniper Ave,Gresham,97080,3,4,17,457800,45.49370956,2838,-122.4230194,6480,490300,1958,538007
4230 SW Lillyben Ave,Gresham,97080,4,4,43,600000,45.46751404,3180,-122.4554443,4791,600000,2018,608559
19830 SE Pine St,Portland,97233,2,3,76,380000,45.5201416,1248,-122.4579391,7840,380000,1968,390274
705 NE 18th Ct,Gresham,97030,1,3,75,330000,45.51000214,1288,-122.4231567,9147,330000,1969,338795
2349 SW 19th Ct,Gresham,97080,3,3,53,465000,45.48252106,1772,-122.4570999,11324,465000,1974,473409
18851 NE Davis St,Portland,97230,1,3,109,387000,45.52406311,1328,-122.4689026,6969,387000,1962,402454
4624 SE Honors Pl,Gresham,97080,3,4,176,690000,45.4651413,3792,-122.4272003,15245,690000,2013,734135
2668 SW 43rd St,Gresham,97080,3,5,204,516400,45.46661377,2892,-122.459198,,516400,2020,556402
18540 SE Yamhill Cir,Portland,97233,1,3,74,370000,45.51468277,946,-122.4717941,6969,370000,1964,379716
828 SE 213th Pl,Gresham,97030,2,3,74,412000,45.51647949,1770,-122.443367,7405,412000,1968,422819
2374 NE Fleming Ter,Gresham,97030,3,4,74,220000,45.51407623,1976,-122.4072952,7925,220000,1976,462293
23654 SE Oak St,Gresham,97030,1,3,76,235000,45.5193634,1126,-122.4186401,8199,235000,1965,241353
1509 SE 179th Ave,Portland,97233,1,3,76,318000,45.51176071,864,-122.479332,6969,318000,1962,326597
1785 SE 2nd Pl,Gresham,97080,1,3,11,206000,45.49597931,1224,-122.4142075,7500,2495,1965,221957
18530 SE Yamhill St,Portland,97233,1,3,76,360000,45.51531219,946,-122.4721146,7405,360000,1963,374868
21507 SE Main St,Gresham,97030,2,3,76,440000,45.51266479,1672,-122.4418564,10890,440000,1971,451896
23564 SE Oak St,Gresham,97030,2,6,78,350000,45.51955032,1794,-122.420105,7000,350000,1965,441205
2021 SW 34th St,Gresham,97080,3,4,203,420000,45.47290802,2281,-122.4532166,4791,420000,2005,446993
22419 SE Morrison Ct,Gresham,97030,1,3,78,345000,45.51657104,890,-122.4321289,6969,345000,1963,354593
