zpid,bathrooms,bedrooms,daysOnZillow,lastSoldPrice,livingArea (sqft),lotSize,priceHistory/0/price,priceHistory/2/price,yearBuilt,zestimate
53959026,3,4,11,512000,2724,9583,512000,479000,1982,512355
53963177,2,3,14,404200,1150,7000,404200,128900,1967,397479
53978110,2,3,25,478200,2036,6969,478200,265000,1978,481241
300097054,2,4,26,530000,1947,4791,530000,480000,2018,532813
67570314,3,3,12,389200,1548,5009,419900,221900,2006,459426
176566127,3,3,41,550000,2209,5227,550000,589999,2017,557448
53891971,3,4,17,457800,2838,6480,490300,490300,1958,538007
300095707,4,4,43,600000,3180,4791,600000,550000,2018,608559
53850713,2,3,76,380000,1248,7840,380000,359000,1968,390274
53969688,1,3,75,330000,1288,9147,330000,330000,1969,338795
53825178,3,3,53,465000,1772,11324,465000,343000,1974,473409
53840437,1,3,109,387000,1328,6969,387000,350000,1962,402454
119267614,3,4,176,690000,3792,15245,690000,650000,2013,734135
176566331,3,5,204,516400,2892,,516400,516400,2020,556402
53873446,1,3,74,370000,946,6969,370000,339900,1964,379716
53964704,2,3,74,412000,1770,7405,412000,390000,1968,422819
53829618,3,4,74,220000,1976,7925,220000,311913,1976,462293
53828352,1,3,76,235000,1126,8199,235000,185000,1965,241353
53939802,1,3,76,318000,864,6969,318000,146800,1962,326597
53901851,1,3,11,206000,1224,7500,2495,103000,1965,221957
53873432,1,3,76,360000,946,7405,360000,329900,1963,374868
53964796,2,3,76,440000,1672,10890,440000,424950,1971,451896
53828346,2,6,78,350000,1794,7000,350000,,1965,441205
67407570,3,4,203,420000,2281,4791,420000,414999,2005,446993
53907816,1,3,78,345000,890,6969,345000,325000,1963,354593
53970268,2,3,82,225500,1280,7094,225500,,1980,232117
61810657,2,3,202,450000,1717,7840,450000,437900,2004,484523
53956096,1,3,83,288250,1160,6969,288250,279000,1973,296820
53945326,2,3,83,383000,1500,9435,383000,410000,1954,394388
300096983,3,4,197,508000,2448,5227,508000,499000,2018,546027
53951317,2,3,83,175000,1112,7392,175000,125000,1985,180203
53963469,1,3,83,362000,912,8712,362000,349900,1956,372763
53945364,1,3,83,292600,1380,8276,292600,290000,1967,301300
53931827,2,3,88,365000,1420,10890,365000,365000,1947,436492
71243819,2,4,197,642000,2733,17424,642000,638900,2007,690058
53956334,1,4,88,386000,1386,6969,386000,369900,1968,401167
53951507,2,3,88,525000,2086,8712,525000,495000,1986,541623
53931801,1,3,88,320000,960,6098,320000,320000,1957,330132
53988111,3,4,195,459500,2066,10018,459500,469500,1976,493551
53820731,3,3,88,470000,2064,11325,470000,429000,1984,484881
54006245,1,2,194,300000,1224,80150,300000,,1954,559141
53842651,2,4,95,415000,2016,6969,415000,389900,1963,429264
53216789,3,4,95,420000,1504,9147,420000,410000,2000,434436
53964807,2,4,95,430000,1780,8712,430000,419900,1972,444779
68350851,3,4,190,500000,2987,5227,500000,499900,2006,536104
53935721,2,4,97,416900,2337,10018,416900,414900,1964,431552
53939774,3,4,97,438000,2431,11325,438000,435000,1960,453394
53971032,4,5,98,595000,3500,13068,595000,595000,1989,616374
53912138,1,3,102,353700,1200,8276,353700,325000,1956,366817
53932927,1,2,103,396800,1000,8210,396800,1325,1974,411670
53877879,1,3,103,400000,1176,7840,400000,400000,1968,414990
53951456,2,3,104,502183,1974,6969,502183,480000,1987,521197
53919192,2,4,104,419000,1609,7405,419000,379900,1955,434865
53837041,2,3,105,437500,1662,9147,437500,395000,1957,454235
53991093,3,5,186,455000,2182,5662,455000,450000,1999,485841
53813944,1,2,106,355000,777,7405,355000,324999,1956,370247
53959552,2,4,106,420000,1810,7200,420000,399890,1974,436229
53944834,3,4,109,435000,2980,6969,435000,449900,1973,452370
79895620,3,2,109,309000,1122,2178,309000,84000,2007,321339
53932974,1,3,109,340100,912,7405,340100,329900,1962,353681
119258588,3,,110,545000,2583,5002,545000,1631363,2015,566998
53837031,2,3,111,415000,1800,8276,415000,340000,1957,431929
88965036,5,5,182,610000,4411,5227,610000,619000,2008,650415
333113766,2,4,19,165000,2106,6969,629900,,2021,668484
